ConceptId	MapTarget
10294000	Q822
102940002	F232
102941003	#NC
102942005	F739
102943000	F629
102945007	#NC
102946008	F988
102947004	Z725
102948009	F528
102949001	F488
102950001	T742
10295004	B189
102951002	T742
102952009	T742
102953004	T742
102954005	#NC
102956007	#NC
102958008	#NC
102961009	#NC
102962002	R941
102964001	#NC
102965000	R940
102967008	#NC
102968003	R941
102970007	#NC
10297007	J90X
102971006	R941
102973009	#NC
102974003	R940
10298002	#HLT
102981005	#NC
102982003	#NC
102983008	#NC
102984002	#NC
102985001	#NC
102987009	#NC
102988004	#NC
102990003	#NC
102991004	#NC
102992006	#NC
102993001	#NC
102994007	#NC
102995008	#NC
102996009	#NC
102997000	R208
102998005	#NC
102999002	T698
103000001	M790
103001000119108	L989
103001002	R208
103002009	#NC
103003004	#NC
103005006	#NC
103006007	R51X
103007003	G448
103008008	R51X
103009000	G448
10301000132102	#NC
103010005	G448
10301003	A681
103011000119106	I251
103011000119106	I252
103011009	G448
103012002	G444
103013007	#HLT
103014001	M5412
103015000	M5414
103016004	M541
103017008	R42X
103018003	R42X
103019006	#NC
103020000	#NC
103021001	E270
103031000119101	P048
103061000119109	S0210
103075007	D830
103077004	D849
103078009	D849
103078009	T941
103079001	D849
103080003	D849
103081004	D849
103081004	Y579
103083001	#NC
1031000119109	#NC
10310006	S1271
10310006	S141
1031006	S110
10311000132100	#NC
10314002	R492
10317009	M460
10318004	#HLT
10321000132105	K565
103210004	#NC
10321002	H700
103211000	#NC
103212007	#NC
103213002	#NC
103225004	#NC
10325006	R488
103251002	#NC
103252009	H55X
103254005	#NC
103255006	#HLT
103256007	#HLT
103257003	H518
103258008	#HLT
103259000	H518
103260005	H518
103261009	H475
103262002	#NC
103263007	H518
103264001	#NC
103265000	#NC
103266004	#HLT
103268003	#NC
103269006	#NC
10327003	F148
103271006	R292
103272004	H570
103273009	H570
103274003	#NC
103275002	#NC
103276001	H932
1032761000000105	P522
103277005	#NC
103278000	H938
103281005	H618
103282003	R42X
103284002	R42X
1032841000000102	U822
103286000	R42X
103287009	R42X
103288004	R42X
103289007	R42X
103290003	H811
103291004	R42X
103292006	R42X
103293001	R42X
103294007	#NC
103295008	#NC
103296009	#NC
103297000	R42X
103298005	#HLT
103299002	R42X
103300005	R42X
1033009	M4784
103301009	R42X
103302002	R42X
103303007	#NC
103304001	R42X
103305000	#NC
1033051000000101	J09X
1033071000000105	J09X
1033091000000109	J101
10331000132107	Q438
1033111000000104	J100
1033181000000106	Z922
1033241000000108	Z950
1033261000000109	L84X
10335000	I500
1033571000000100	O721
1033591000000101	O721
1033651000000108	#NC
10337008	#HLT
1033961000000104	M1007
10340008	E230
1034003	I770
103406000	#NC
103407009	#NC
103408004	B24X
103409007	B24X
103410002	B24X
103411003	B24X
103412005	B24X
103413000	B24X
103414006	B24X
103415007	#NC
103416008	#NC
103417004	#NC
103418009	#NC
1034461000000106	U849
1034481000000102	U840
10345003	A512
1034501000000106	U841
1034521000000102	U842
1034541000000109	U843
1034561000000105	U847
10347006	L563
1034891000000102	#NC
10349009	F051
10349009	F011
1034901000000101	#NC
1034921000000105	#NC
10351000132101	T282
10351000132101	Y838
10351008	J039
1035381000000108	Z818
1035521000000103	I890
1035521000000103	Z859
1035691000000104	#NC
1035751000000103	T149
1035841000000108	I890
1035841000000108	Z853
10360000	L989
103606006	#NC
103607002	#NC
103608007	#NC
103609004	#NC
103610009	#NC
10361001	F430
103611000119102	K746
103611000119102	B181
103611008	#NC
10362008	Q890
10363003	T622
103631007	#NC
10365005	I219
10366006	S310
1036671000000106	A419
1036671000000106	R651
103681000119108	H508
103681000119108	E050
103691000119106	K259
103691000119106	B980
103694001	Z419
10370003	#NC
103707005	#NC
1037131000000101	#NC
1037151000000108	#NC
1037191000000100	#NC
103728001	R220
103732007	#NC
1037391000000102	#NC
103741000119108	M2454
103741000119108	L905
10375008	Q332
103761000119107	G825
103761000119107	I694
103781000119103	B488
10379002	#HLT
1038000	E749
10380004	S670
10381000	B838
1038261000000100	Z818
103841000119102	H350
10385009	T460
103851000119100	J984
103851000119100	G122
10387001	M359
103871000119109	J984
103871000119109	G20X
10389003	K283
10392004	S350
103931000119102	K729
10394003	G111
10396001	#NC
103981000119101	E143D
103981000119101	H360A
10399008	E878
10401002	B001
104011000119109	O983
104011000119109	A600
104041000119108	J329
104041000119108	B49X
10406007	E791
104081000119103	D369
1041000119100	Z630
104111000119108	H570
10416004	T243
10421000132103	R58X
10423003	#NC
104231000119108	L984
10437007	E258
10443009	B99X
104431000119107	Q059
10446001	B449
104461000119104	H499
104461000119104	E050
104471000119105	A521
104471000119105	M146A
1045000	K589
10451007	Q254
104521000119108	H189
10453005	L024
1045671000000102	T743
1045691000000103	Z658
1045721000000107	Z651
1045751000000102	Z651
1045771000000106	T749
1045791000000105	T749
1045811000000106	T740
1045861000000108	#NC
1045881000000104	#NC
1045901000000101	#NC
1045921000000105	#NC
1045941000000103	#NC
1045981000000106	#NC
1046004	N288
