ConceptId	num
10000006	1
10001005	1
10007009	1
1001000119102	1
10017004	1
100191000119105	1
100211000119106	1
100231000119101	1
10028000	1
1003002	1
10033001	1
10037000	1
10041001	1
100491000119103	2
10050004	1
10051000	1
100511000119108	2
10057001	1
10058006	1
100581000119102	1
10065003	1
10068001	1
10070005	1
100721000119109	1
100731000119107	1
100751000119101	1
10076004	1
10078003	1
100801000119107	2
10082001	2
100841000119109	2
10085004	1
10087007	1
10091002	1
10093004	1
100941000119100	2
101000119102	1
101071000119104	1
1011000119104	1
10114008	1
10121008	1
10128002	1
101281000119107	2
10129005	1
101301000119106	2
10132008	1
101321000119102	1
101351000119105	1
10137002	1
10138007	1
10139004	1
101391000119100	1
101401000119103	1
101411000119100	1
101421000119107	2
101461000119102	1
10151000132103	2
10152009	1
10153004	1
10155006	1
101551000119103	1
101601000119101	1
101621000119105	1
10164001	1
10165000	1
10170007	1
10171000132106	1
101711000119105	2
10177005	1
10180006	1
10184002	1
10186000	1
10188004	1
10191004	1
10193001	2
10194007	1
10196009	1
1020003	2
102031000119109	1
10205009	2
1021000119106	1
10211000132109	2
10212000	1
102161000119102	1
10217006	1
102171000119108	1
102191000119109	1
10221004	1
102268008	1
10227000	2
102274008	1
102275009	1
102276005	1
102277001	1
102278006	1
1023001	1
10231000132102	1
102331000119107	1
102341000119103	1
10235002	1
102361000119104	1
102401000119108	1
102447009	1
102448004	1
102449007	1
102451000119107	2
102451006	1
102452004	1
102453009	1
1024551000000109	1
102457005	1
1024571000000100	1
102458000	1
102459008	1
102460003	1
102461004	1
102462006	1
102464007	1
102465008	1
102466009	1
102467000	1
102469002	1
102470001	1
1024701000000100	1
102471002	1
1024711000000103	1
102472009	1
102473004	1
102475006	1
102476007	1
102477003	1
1024771000000108	1
102478008	1
102479000	1
102480002	1
102481003	1
102482005	1
102483000	1
102484006	1
102491009	1
102492002	1
102493007	1
102494001	1
102496004	1
102497008	1
102498003	1
102499006	1
102500002	1
102501003	1
102502005	1
1025021000000107	1
102503000	1
102504006	1
102505007	1
102506008	1
102507004	1
102508009	1
102509001	1
102510006	1
102511005	1
102512003	1
102513008	1
102514002	1
102515001	1
102516000	1
102517009	1
102520001	1
102521002	1
102522009	1
102523004	1
102524005	1
102525006	1
102526007	1
102527003	1
102528008	1
102533007	1
102535000	1
102536004	1
102538003	1
102539006	1
102540008	1
102541007	1
102543005	1
1025471000000102	1
102548001	1
102549009	1
102551008	1
102553006	1
102554000	1
102555004	1
1025551000000105	1
102556003	1
102557007	1
102558002	1
10256000	1
102560000	1
102561001	1
102562008	1
102563003	1
102564009	1
102565005	1
102566006	1
102567002	1
102568007	1
102569004	1
102570003	1
102572006	1
102573001	1
1025741000000103	1
102575008	1
102576009	1
1025761000000102	1
102577000	1
102578005	1
102580004	1
102581000	1
102584008	1
102586005	1
102587001	1
102588006	1
102589003	1
102590007	1
102591006	1
102594003	1
102595002	1
102596001	1
102598000	1
102599008	1
10260002	1
102601005	1
102603008	1
102605001	1
102606000	1
102607009	1
102608004	1
102609007	1
102610002	1
102612005	1
102613000	1
102614006	1
102615007	1
102616008	1
102617004	1
102618009	1
102619001	1
102621000119101	2
102621006	1
102622004	1
102623009	1
102624003	1
102625002	1
102626001	1
102627005	1
102628000	1
102629008	1
102630003	1
102631000119103	2
102631004	1
102632006	1
102633001	1
102634007	1
102635008	1
102636009	1
102659003	1
102660008	1
10269001	1
1027000	1
10273003	1
10277002	1
10278007	1
102781000119107	2
102799005	1
102800009	1
102801008	1
