ConceptId	num
10001000000102	1
10001005	2
1001000119102	1
10011000000100	1
10017004	1
100191000119105	1
10037000	1
10041001	1
100491000119103	1
10050004	1
100511000119108	1
10057001	5
10058006	1
100581000119102	1
10065003	1
10070005	2
100721000119109	1
100731000119107	1
10076004	1
10078003	5
10085004	1
10087007	9
10091000000109	1
10093004	1
100941000119100	1
101000119102	1
10101000000101	1
10111000000104	1
10121000000105	1
101301000119106	1
10137002	3
10138007	2
101421000119107	2
101461000119102	1
10151000132103	1
10161000000102	1
10164001	1
10170007	1
10171000000109	1
10171000132106	4
101711000119105	1
10180006	1
10181000000106	1
10191000000108	1
10193001	2
10196009	1
1020003	1
10205009	1
1021000119106	1
10212000	1
102161000119102	1
10217006	2
102171000119108	1
102191000119109	1
10221004	1
102274008	1
102275009	1
102276005	1
102278006	1
1023001	5
10231000000104	1
10231000132102	3
10241000000108	1
102449007	2
102451000119107	1
102453009	1
102458000	2
102475006	1
102480002	3
102481003	3
102482005	1
102492002	1
102496004	1
102498003	3
102499006	2
102500002	1
102501003	1
102502005	1
102503000	1
102504006	1
102505007	1
102506008	1
102507004	1
102508009	1
102509001	5
102510006	1
102511005	1
102512003	1
102513008	1
102514002	1
102515001	1
102516000	2
102517009	2
102533007	1
102535000	1
102536004	1
1025371000000108	1
102538003	2
102549009	4
102551008	1
102553006	1
102556003	1
102557007	1
102558002	1
102560000	1
102562008	1
102563003	1
102564009	1
102565005	1
102566006	1
102567002	1
102568007	1
102570003	1
102572006	3
102573001	1
102575008	3
102576009	5
102577000	1
102594003	2
102595002	1
102596001	1
102598000	2
102599008	1
102603008	1
102605001	1
102606000	2
102607009	1
102608004	2
10261000000109	1
102610002	2
102613000	1
102614006	2
102616008	2
102617004	1
102618009	1
102619001	5
102621000119101	1
102624003	1
102634007	1
102635008	3
102636009	3
10269001	2
1027000	4
10271000000102	1
10273003	1
10277002	2
10281000132103	2
102830001	2
102831000119104	1
102834005	2
102835006	3
102838008	1
102848005	1
102851003	1
102856008	1
102862003	1
102863008	1
102865001	1
102867009	1
102868004	3
102872000	1
102874004	3
102876002	1
102877006	1
102878001	4
102881006	1
102882004	1
102883009	1
102884003	1
102885002	1
102886001	1
102887005	1
102888000	2
102889008	4
102894008	2
102897001	2
102905003	1
102906002	2
10291000132101	2
102910004	1
102912007	1
102913002	1
102915009	2
102916005	1
102918006	1
102920009	1
102921008	2
102922001	1
102923006	2
102924000	1
102925004	2
102928002	1
102929005	1
102930000	2
102934009	2
102941003	1
102942005	1
102945007	3
102946008	3
102947004	2
102954005	2
102957003	4
102958008	3
102981005	1
102996009	2
102997000	1
102998005	1
102999002	1
103000001	1
103001002	1
103002009	1
103003004	1
103006007	1
103007003	1
103009000	1
10301000000104	1
10301000132102	2
103011009	2
103013007	1
103017008	1
103031000119101	3
103061000119109	2
103075007	4
103079001	1
10311000000102	1
10311000132100	2
10314002	4
10321002	1
103212007	1
103225004	1
10325006	7
103251002	1
103252009	1
103254005	1
103260005	1
103261009	1
103262002	1
103264001	1
10327003	1
103271006	2
103273009	2
103274003	1
103275002	1
103277005	1
103278000	1
103281005	3
103284002	2
1032841000000102	1
103286000	1
103287009	1
103288004	1
